System_ID,Name,Website_Breadcrumb,Inode_Breadcrumb,Image,Website_name,Brand,Color
5aea237ac097afcf35ad4a1a,"""Da Intimo Black Stick-On Bra DIA-48""",Apparel > Innerwear > Lingerie accessories,Home > Fashion > Lingerie > Bra,"[""http://www.myntra.com/lingerie-accessories/da-intimo/da-intimo-black-stick-on-bra-dia-48/1085187/buy"", ""http://developer.myntra.com/style/1085187""]",www.myntra.com,da intimo,black
5afdf059e8e665785f42fa5a,"""Peter England Men Green & Grey Striped Polo Collar T-shirt""",Apparel > Topwear > Tshirts,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Polos,"[""http://www.myntra.com/tshirts/peter-england/peter-england-men-green--grey-striped-polo-collar-t-shirt/5916880/buy"", ""http://developer.myntra.com/style/5916880""]",www.myntra.com,peter england,green
5abaa6947cd799984f4e1dcb,"""Tiddlywings Girls Pink Floral Printed Skirt""",Apparel > Bottomwear > Skirts,Home > Fashion > Apparel > Bottomwear > Skirts,"[""http://www.myntra.com/skirts/tiddlywings/tiddlywings-girls-pink-floral-printed-skirt/4133452/buy"", ""http://developer.myntra.com/style/4133452""]",www.myntra.com,tiddlywings,pink
5abbbe807cd799984f4e22aa,"""CORE Designed by SPACES Yellow Abstract Fitted 104 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers""",Home > Bedding > Bedsheets,Home > Home & Decor > Bed & Bath > Bed > Fitted Sheet,"[""http://www.myntra.com/bedsheets/core-designed-by-spaces/core-designed-by-spaces-yellow-abstract-fitted-104-tc-cotton-1-queen-bedsheet-with-2-pillow-covers/4361182/buy"", ""http://developer.myntra.com/style/4361182""]",www.myntra.com,core designed by spaces,yellow
5a3d946bd9877c30c8c98ecc,"""Lee Women Red & Black Tailored Fit Checked Casual Shirt""",Apparel > Topwear > Shirts,Home > Fashion > Apparel > Topwear > Shirts,"[""http://www.myntra.com/shirts/lee/lee-women-red--black-tailored-fit-checked-casual-shirt/2272468/buy"", ""http://developer.myntra.com/style/2272468""]",www.myntra.com,lee,red
5afc55a8e8e665785f42ec0d,"""Pure Home & Living Set of 2 Bllue Chevron Glass Round Vase""",Home > Home Decor > Vases,Home > Home & Decor > Decor > Vases & Flowers > Vases,"[""http://www.myntra.com/vases/pure-home-and-living/pure-home--living-set-of-2-bllue-chevron-glass-round-vase/5668056/buy"", ""http://developer.myntra.com/style/5668056""]",www.myntra.com,pure home and living,blue
5ac45fcaabc3bdc3409d7ff6,"""Walktrendy Unisex Blue Sequinned Sneakers""",Footwear > Shoes > Casual Shoes,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"[""http://www.myntra.com/casual-shoes/walktrendy/walktrendy-unisex-blue-sequinned-sneakers/2614312/buy"", ""http://developer.myntra.com/style/2614312""]",www.myntra.com,walktrendy,blue
584f8ff26b93a9d748972f3f,"""Wills Lifestyle Men Charcoal Grey Solid Formal Flat-Front Trousers""",Apparel > Bottomwear > Trousers,Home > Fashion > Apparel > Bottomwear > Trousers and Pants,"[""http://www.myntra.com/trousers/wills-lifestyle/wills-lifestyle-men-charcoal-grey-solid-formal-flat-front-trousers/1651052/buy"", ""http://developer.myntra.com/style/1651052""]",www.myntra.com,wills lifestyle,grey
5aadab77fbcdad9abd0f36d1,"""ToniQ Orange Solid Sling Bag""",Accessories > Bags > Handbags,Home > Fashion > Fashion Accessories > Bags > Crossbody Bags > Sling Bags,"[""http://www.myntra.com/handbags/toniq/toniq-orange-solid-sling-bag/2513834/buy"", ""http://developer.myntra.com/style/2513834""]",www.myntra.com,toniq,orange
5b221d5d07f090e515b8267a,"""Roadster Women Black Printed Hooded Sweatshirt""",Apparel > Topwear > Sweatshirts,Home > Fashion > Apparel > Topwear > Sweatshirts,"[""http://www.myntra.com/sweatshirts/roadster/roadster-women-black-printed-hooded-sweatshirt/1282786/buy"", ""http://developer.myntra.com/style/1282786""]",www.myntra.com,roadster,black
5a2fdde3363e4272313fb08d,"""Columbus Men Red Training or Gym ECO-19 Shoes""",Footwear > Shoes > Sports Shoes,Home > Fashion > Footwear > Sports & Athletic,"[""http://www.myntra.com/sports-shoes/columbus/columbus-men-red-training-or-gym-eco-19-shoes/2310122/buy"", ""http://developer.myntra.com/style/2310122""]",www.myntra.com,columbus,red
5ab10db865d4bedc59cae87b,"""MIWAY Women Blue Solid Fit & Flare Dress""",Apparel > Dress > Dresses,Home > Fashion > Apparel > Dress > Dresses,"[""http://www.myntra.com/dresses/miway/miway-women-blue-solid-fit--flare-dress/4129615/buy"", ""http://developer.myntra.com/style/4129615""]",www.myntra.com,miway,blue
5a3d4533d9877c30c8c9731f,"""Lacoste Men Green & White Classic Fit Checked Casual Shirt""",Apparel > Topwear > Shirts,Home > Fashion > Apparel > Topwear > Shirts,"[""http://www.myntra.com/shirts/lacoste/lacoste-men-green--white-classic-fit-checked-casual-shirt/2336448/buy"", ""http://developer.myntra.com/style/2336448""]",www.myntra.com,lacoste,green
5aeb5e57883b8bc0d4aaebcc,"""Peter England Casuals Men Blue Skinny Fit Solid Casual Shirt""",Apparel > Topwear > Shirts,Home > Fashion > Apparel > Topwear > Shirts,"[""http://www.myntra.com/shirts/peter-england-casuals/peter-england-casuals-men-blue-skinny-fit-solid-casual-shirt/5153706/buy"", ""http://developer.myntra.com/style/5153706""]",www.myntra.com,peter england,blue
5b0d36218573ddb561d2350c,"""Kook N Keech Marvel Women Blue Dyed Round Neck T-shirt""",Apparel > Topwear > Tshirts,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"[""http://www.myntra.com/tshirts/kook-n-keech-marvel/kook-n-keech-marvel-women-blue-dyed-round-neck-t-shirt/4446260/buy"", ""http://developer.myntra.com/style/4446260""]",www.myntra.com,kook n keech,blue
5b12d8f74d8b26f41a860efc,"""FOREVER 21 Women Mustard Yellow Crop Bardot Top""",Apparel > Topwear > Tops,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tops,"[""http://www.myntra.com/tops/forever-21/forever-21-women-mustard-yellow-crop-bardot-top/4377475/buy"", ""http://developer.myntra.com/style/4377475""]",www.myntra.com,forever21,yellow
5b20f14e07f090e515b81842,"""ROSARA HOME Brown Set of 5 Checked Square Cushion Covers""",Home > Home Furnishing > Cushion Covers,Home > Home & Decor > Decor > Cushions & Throws > Cushion Covers,"[""http://www.myntra.com/cushion-covers/rosara-home/rosara-home-brown-set-of-5-checked-square-cushion-covers/6676193/buy"", ""http://developer.myntra.com/style/6676193""]",www.myntra.com,rosara,brown
